segment,current_rows,pct_of_usable_rows,coverage_read,prospecting_target
bra band 40+,29,0.14,Large-band bra rows are thin.,Full-bust and plus lingerie sites.
hips 48+ in,123,0.6,High-hip rows are thin.,Curve denim/swim/activewear where reviewers state hip measurements.
waist 40+ in,132,0.65,Plus waist measurements are thin.,"Curve denim, shapewear, plus workwear, plus formalwear."
bust 44+ in,149,0.73,Large bust measurements are thin.,"Full-bust swim, dresses, bras, and bust-friendly apparel."
very high weight (260+ lb),220,1.08,Very sparse far upper tail.,Dedicated extended plus and inclusive sizing retailers.
very tall height (6'0+),302,1.48,Very small upper-tail sample.,Tall-focused brands and communities with reviewer measurements.
very petite height (<5'0),558,2.74,Sparse relative to 5'2-5'8 center mass.,"Petite-specialty retailers, short inseam denim, petite formalwear."
low weight (<110 lb),715,3.51,Thin lower-weight tail.,Petite/XXS brands with explicit reviewer stats.
tall height (5'10+),939,4.61,Tails thin out above 5'10.,"Tall-size shops, tall denim, long torso swim/activewear."
cup DD+,942,4.63,Full-bust cup data exists but is not broad enough.,Full-bust bra/swim retailers with structured review fields.
higher weight (200+ lb),1482,7.28,Higher weights are materially under-covered.,"Plus-size, curve, shapewear, extended-size brands with photo reviews."
